match_id,date,group,matchday,home_team,away_team
1,2026-06-11,A,1,Mexico,South Africa
2,2026-06-11,A,1,South Korea,Czech Republic
3,2026-06-18,A,2,Mexico,South Korea
4,2026-06-18,A,2,Czech Republic,South Africa
5,2026-06-24,A,3,Czech Republic,Mexico
6,2026-06-24,A,3,South Africa,South Korea
7,2026-06-12,B,1,Canada,Bosnia and Herzegovina
8,2026-06-13,B,1,Qatar,Switzerland
9,2026-06-18,B,2,Canada,Qatar
10,2026-06-18,B,2,Switzerland,Bosnia and Herzegovina
11,2026-06-24,B,3,Switzerland,Canada
12,2026-06-24,B,3,Bosnia and Herzegovina,Qatar
13,2026-06-13,C,1,Brazil,Morocco
14,2026-06-13,C,1,Haiti,Scotland
15,2026-06-19,C,2,Brazil,Haiti
16,2026-06-19,C,2,Scotland,Morocco
17,2026-06-24,C,3,Scotland,Brazil
18,2026-06-24,C,3,Morocco,Haiti
19,2026-06-12,D,1,United States,Paraguay
20,2026-06-13,D,1,Australia,Turkey
21,2026-06-19,D,2,United States,Australia
22,2026-06-19,D,2,Turkey,Paraguay
23,2026-06-25,D,3,Turkey,United States
24,2026-06-25,D,3,Paraguay,Australia
25,2026-06-14,E,1,Germany,Curacao
26,2026-06-14,E,1,Ivory Coast,Ecuador
27,2026-06-20,E,2,Germany,Ivory Coast
28,2026-06-20,E,2,Ecuador,Curacao
29,2026-06-25,E,3,Curacao,Ivory Coast
30,2026-06-25,E,3,Ecuador,Germany
31,2026-06-14,F,1,Netherlands,Japan
32,2026-06-14,F,1,Sweden,Tunisia
33,2026-06-20,F,2,Netherlands,Sweden
34,2026-06-20,F,2,Tunisia,Japan
35,2026-06-25,F,3,Japan,Sweden
36,2026-06-25,F,3,Tunisia,Netherlands
37,2026-06-15,G,1,Belgium,Egypt
38,2026-06-15,G,1,Iran,New Zealand
39,2026-06-21,G,2,Belgium,Iran
40,2026-06-21,G,2,New Zealand,Egypt
41,2026-06-26,G,3,Egypt,Iran
42,2026-06-26,G,3,New Zealand,Belgium
43,2026-06-15,H,1,Spain,Cape Verde
44,2026-06-15,H,1,Saudi Arabia,Uruguay
45,2026-06-21,H,2,Spain,Saudi Arabia
46,2026-06-21,H,2,Uruguay,Cape Verde
47,2026-06-26,H,3,Cape Verde,Saudi Arabia
48,2026-06-26,H,3,Uruguay,Spain
49,2026-06-16,I,1,France,Senegal
50,2026-06-16,I,1,Iraq,Norway
51,2026-06-22,I,2,France,Iraq
52,2026-06-22,I,2,Norway,Senegal
53,2026-06-26,I,3,Norway,France
54,2026-06-26,I,3,Senegal,Iraq
55,2026-06-16,J,1,Argentina,Algeria
56,2026-06-16,J,1,Austria,Jordan
57,2026-06-22,J,2,Argentina,Austria
58,2026-06-22,J,2,Jordan,Algeria
59,2026-06-27,J,3,Algeria,Austria
60,2026-06-27,J,3,Jordan,Argentina
61,2026-06-17,K,1,Portugal,DR Congo
62,2026-06-17,K,1,Uzbekistan,Colombia
63,2026-06-23,K,2,Portugal,Uzbekistan
64,2026-06-23,K,2,Colombia,DR Congo
65,2026-06-27,K,3,Colombia,Portugal
66,2026-06-27,K,3,DR Congo,Uzbekistan
67,2026-06-17,L,1,England,Croatia
68,2026-06-17,L,1,Ghana,Panama
69,2026-06-23,L,2,England,Ghana
70,2026-06-23,L,2,Panama,Croatia
71,2026-06-27,L,3,Panama,England
72,2026-06-27,L,3,Croatia,Ghana
