match_id,team_a,team_b,source_a,source_b
73,South Africa,Canada,2o Grupo A,2o Grupo B
74,Germany,Paraguay,1o Grupo E,3o Grupo D
75,Netherlands,Morocco,1o Grupo F,2o Grupo C
76,Brazil,Japan,1o Grupo C,2o Grupo F
77,France,Sweden,1o Grupo I,3o Grupo F
78,Ivory Coast,Norway,2o Grupo E,2o Grupo I
79,Mexico,Ecuador,1o Grupo A,3o Grupo E
80,Belgium,Senegal,1o Grupo G,3o Grupo I
81,United States,Bosnia and Herzegovina,1o Grupo D,3o Grupo B
82,England,DR Congo,1o Grupo L,3o Grupo K
83,Portugal,Croatia,2o Grupo K,2o Grupo L
84,Spain,Austria,1o Grupo H,2o Grupo J
85,Switzerland,Algeria,1o Grupo B,3o Grupo J
86,Argentina,Cape Verde,1o Grupo J,2o Grupo H
87,Colombia,Ghana,1o Grupo K,3o Grupo L
88,Australia,Egypt,2o Grupo D,2o Grupo G
