team,group,confederation,host
Mexico,A,CONCACAF,yes
South Africa,A,CAF,no
South Korea,A,AFC,no
Czech Republic,A,UEFA,no
Canada,B,CONCACAF,yes
Bosnia and Herzegovina,B,UEFA,no
Qatar,B,AFC,no
Switzerland,B,UEFA,no
Brazil,C,CONMEBOL,no
Morocco,C,CAF,no
Haiti,C,CONCACAF,no
Scotland,C,UEFA,no
United States,D,CONCACAF,yes
Paraguay,D,CONMEBOL,no
Australia,D,AFC,no
Turkey,D,UEFA,no
Germany,E,UEFA,no
Curacao,E,CONCACAF,no
Ivory Coast,E,CAF,no
Ecuador,E,CONMEBOL,no
Netherlands,F,UEFA,no
Japan,F,AFC,no
Sweden,F,UEFA,no
Tunisia,F,CAF,no
Belgium,G,UEFA,no
Egypt,G,CAF,no
Iran,G,AFC,no
New Zealand,G,OFC,no
Spain,H,UEFA,no
Cape Verde,H,CAF,no
Saudi Arabia,H,AFC,no
Uruguay,H,CONMEBOL,no
France,I,UEFA,no
Senegal,I,CAF,no
Iraq,I,AFC,no
Norway,I,UEFA,no
Argentina,J,CONMEBOL,no
Algeria,J,CAF,no
Austria,J,UEFA,no
Jordan,J,AFC,no
Portugal,K,UEFA,no
DR Congo,K,CAF,no
Uzbekistan,K,AFC,no
Colombia,K,CONMEBOL,no
England,L,UEFA,no
Croatia,L,UEFA,no
Ghana,L,CAF,no
Panama,L,CONCACAF,no
